word,hc,mci,ad,total
around,0.0832,0.1453,0.1352,0.3636
people,0.0794,0.1083,0.1494,0.3371
next,0.0774,0.0871,0.1683,0.3328
way,0.1085,0.0946,0.1278,0.3309
much,0.0703,0.1215,0.1295,0.3213
pro,0.092,0.1096,0.1024,0.304
big,0.0868,0.0976,0.1125,0.297
thats,0.0647,0.0981,0.1198,0.2826
knew,0.0865,0.0798,0.1044,0.2708
fine,0.0874,0.087,0.0922,0.2665
friends,0.08,0.1019,0.0772,0.2591
back,0.0705,0.0645,0.1051,0.2401
uhm,0.0541,0.0756,0.0978,0.2275
clubs,0.0513,0.0806,0.0714,0.2033
mean,0.0526,0.0666,0.074,0.1931
within,0.0471,0.0618,0.0718,0.1807
remember,0.0238,0.0703,0.081,0.175
room,0.0471,0.0684,0.053,0.1685
university,0.0478,0.051,0.0667,0.1655
west,0.0434,0.0476,0.0716,0.1626
didnt,0.0467,0.064,0.0488,0.1595
never,0.0389,0.0525,0.0621,0.1535
right,0.0383,0.0532,0.056,0.1475
another,0.0386,0.0468,0.0612,0.1466
job,0.0309,0.0487,0.0637,0.1434
church,0.0299,0.0441,0.0393,0.1133
good,0.0299,0.0272,0.0456,0.1027
germany,0.0224,0.0367,0.0405,0.0996
wife,0.0245,0.0272,0.0363,0.088
house,0.0195,0.0298,0.0284,0.0776
college,0.0169,0.0218,0.0328,0.0715
old,0.0211,0.0242,0.0246,0.0699
new,0.0179,0.0214,0.0181,0.0573
work,0.0169,0.0128,0.0117,0.0415
night,0.0106,0.0109,0.0122,0.0337
gonna,0.0083,0.0067,0.0121,0.0272
dont,0.0047,0.0067,0.0085,0.0198
husband,0.0026,0.0035,0.0042,0.0103
little,0.0027,0.0032,0.0037,0.0097
school,0.0005,0.0006,0.0009,0.0021
